race_year_id,event,file
47625,Ultra-Trail Mt. Fuji,ut-fuji-utmf.gpx
39881,UTMB®,utmb-ultra-trail-du-mont-blanc.gpx
54013,SPARNATRAIL,sparnatrail.gpx
64191,Val d’Aran by UTMB®,val-da-aran-utmb.gpx
59805,Javelina Jundred,Javelina_Jundred_100_Mile_2021.gpx
26491,Ultra Tour des 4 Massifs,ut4m-160xtrem.gpx
69001,Coldwater Rumble,coldwater-rumble-100.gpx
35721,100 Miles Of Istria,100-miles-istria.gpx
35983,Ehunmilak Ultra-Trail®,ehunmilak-ultra.gpx
32405,Salomon Hammer Trail,hammer-trail.gpx
47701,Midstate Massive Ultra Trail,2022Midstate-Massive-100M.gpx
29705,Kettle Moraine 100,kettle-moraine-100.gpx
