race_year_id,event,race,city,country,date,start_time,participation,distance,elevation_gain,elevation_loss,aid_stations,participants
64771,The Old Forest Hanmer 100,100mile,HanmerSprings,New Zealand,14/05/2021,10:00:00,solo,100,0,0,16,0
71220,Run Lovit,100M,NA,United States,26/02/2021,00:00:00,solo,100,0,0,0,0
67160,IDAHO MOUNTAIN TRAIL ULTRA FESTIVAL,100 Mile,NA,United States,12/09/2020,00:00:00,solo,100,0,0,0,0
67713,Pine creek challenge,100Miles,Wellsboro,"PA, United States",12/09/2020,00:00:00,solo,100,0,0,0,0
51777,Chiemgauer 100,100 Mile,Bergen,Germany,31/07/2020,13:00:00,Solo,100,0,0,9,150
66413,Palisades Ultra Trail Series,Moose 100 Mile,Irwin,United States,17/07/2020,05:00:00,solo,100,0,0,14,0
62593,Run Lovit,100M,NA,United States,28/02/2020,00:00:00,solo,100,0,0,0,0
50097,The Great Southern Alps Miler,The Great Southern Alps Miler,HanmerSprings,New Zealand,17/01/2020,07:00:00,solo,100,0,0,8,1
65861,Loup Garou 100 Mile Trail Run,100M,VillePlatte,"LA, United States",14/12/2019,00:00:00,solo,100,0,0,0,0
59415,RIO DEL LAGO 100,100 MILES,NA,United States,07/11/2019,00:00:00,solo,100,0,0,19,0
58289,Ozark Trail 100 Mile Endurance Run,100 Mi,Shawnee,United States,02/11/2019,06:00:00,solo,100,0,0,13,56
56591,GHOST TRAIN RAIL TRAIL RACE 100,100 Mi,NA,United States,19/10/2019,00:00:00,solo,100,0,0,0,0
58553,IDAHO MOUNTAIN TRAIL ULTRA FESTIVAL,100 Mile,NA,United States,14/09/2019,00:00:00,solo,100,0,0,0,0
58291,PLAIN 100 MILE ENDURANCE RUN,100 MILE,NA,United States,14/09/2019,00:00:00,solo,100,0,0,0,0
67711,Pine creek challenge,100Miles,Wellsboro,"PA, United States",07/09/2019,00:00:00,solo,100,0,0,0,0
53619,WASATCH FRONT 100 MILE ENDURANCE RUN,WASATCH FRONT 100 MILE ENDURANCE RUN,NA,United States,07/09/2019,06:00:00,solo,100,0,0,0,0
58005,HEADLANDS HUNDRED,100 miles,NA,United States,01/09/2019,00:00:00,solo,100,0,0,0,0
56571,CASCADE CREST 100 MILE ENDURANCE RUN,Cascade Crest 100 Mile Endurance Run,NA,United States,24/08/2019,00:00:00,solo,100,0,0,0,0
52109,Lean Horse 100,LEAN HORSE HUNDRED,Custer,United States,15/08/2019,00:00:00,solo,100,0,0,0,0
41117,Chiemgauer 100,100 Mile,Bergen,Germany,02/08/2019,14:00:00,Solo,100,0,0,9,150
51331,Andorra Ultra Trail Vallnord,Ronda dels cims,Ordino,Andorra,19/07/2019,07:00:00,solo,100,0,0,0,0
66412,Palisades Ultra Trail Series,Moose 100 Mile,Irwin,United States,19/07/2019,05:00:00,solo,100,0,0,14,0
56513,OLD DOMINION 100 MILE,OLD DOMINION 100 MILE,NA,United States,01/06/2019,00:00:00,solo,100,0,0,0,0
47925,UMSTEAD 100,100 Mi,NA,United States,06/04/2019,00:00:00,solo,100,0,0,0,0
46917,Antelope Island Buffalo Run,100 Mile,Syracuse,United States,22/03/2019,00:00:00,solo,100,0,0,17,75
62597,Run Lovit,100M,NA,United States,22/02/2019,00:00:00,solo,100,0,0,0,0
56951,Long haul,100M,WesleyChapel,"FL, United States",19/01/2019,00:00:00,solo,100,0,0,0,0
41235,Ultra Tuffman Desert Championship - Jaisalmer,160 KMS,Jaisalmer,India,21/12/2018,05:00:00,solo,100,0,0,42,0
65859,Loup Garou 100 Mile Trail Run,100M,VillePlatte,"LA, United States",15/12/2018,00:00:00,solo,100,0,0,0,0
41827,CHIMERA 100,100 MILES,NA,United States,17/11/2018,00:00:00,solo,100,0,0,0,0
45653,Ozark Trail 100 Mile Endurance Run,100 Mi,Shawnee,United States,03/11/2018,06:00:00,solo,100,0,0,13,56
41939,RIO DEL LAGO 100,100 MILES,NA,United States,03/11/2018,00:00:00,solo,100,0,0,19,0
38501,Jarakabande Eco Ultra,Jarakabande Eco Ultra,Bangalore,India,27/10/2018,06:00:00,solo,100,0,0,3,0
41957,IDAHO MOUNTAIN TRAIL ULTRA FESTIVAL,100 Mile,NA,United States,15/09/2018,00:00:00,solo,100,0,0,0,0
45437,Robin Hood 100,Robin Hood 100,Retford,United Kingdom,15/09/2018,08:00:00,solo,100,0,0,10,0
67712,Pine creek challenge,100Miles,Wellsboro,"PA, United States",08/09/2018,00:00:00,solo,100,0,0,0,0
58003,HEADLANDS HUNDRED,100 miles,NA,United States,02/09/2018,00:00:00,solo,100,0,0,0,0
37039,Grand Raid des Pyrénées,Ultra Tour,vielle-Aure,France,24/08/2018,05:00:00,solo,102,0,0,14,0
36339,Palisades Ultra Trail Series,Moose 100 Mile,Irwin,United States,28/07/2018,05:00:00,solo,100,0,0,14,0
25599,Chiemgauer 100,100 Mile,Bergen,Germany,27/07/2018,14:00:00,Solo,100,0,0,9,150
37843,Andorra Ultra Trail Vallnord,Ronda dels cims,Ordino,Andorra,06/07/2018,00:00:00,solo,100,0,0,0,0
33283,UMSTEAD 100,100 Mi,NA,United States,01/04/2018,00:00:00,solo,100,0,0,0,0
39363,Antelope Island Buffalo Run,100 Mile,Syracuse,United States,16/03/2018,00:00:00,solo,100,0,0,17,75
58671,Long haul,100M,WesleyChapel,"FL, United States",18/01/2018,00:00:00,solo,100,0,0,0,0
31717,Croom zoom,100mi,Brooksville,"FL, United States",06/01/2018,00:00:00,solo,100,0,0,0,0
65857,Loup Garou 100 Mile Trail Run,100M,VillePlatte,"LA, United States",14/12/2017,00:00:00,solo,100,0,0,0,0
42905,Louceni,172 km,UstinadLabem,Czech Republic,24/11/2017,05:30:00,solo,107,0,0,9,0
27667,Tunnel Hill  100 & 50 mile runs,100mi,Vienna,United States,11/11/2017,07:00:00,solo,100,0,0,21,0
25731,Ozark Trail 100 Mile Endurance Run,100 Mi,Shawnee,United States,04/11/2017,06:00:00,solo,100,0,0,13,56
28127,RIO DEL LAGO 100,100 MILES,NA,United States,04/11/2017,00:00:00,solo,100,0,0,19,0
24249,Ultra Tuffman Beach Championship - Goa,Goa 160k,Sernabatim,India,27/10/2017,06:00:00,solo,100,0,0,16,200
24933,Cactus Rose,100 Mile,Bandera,United States,21/10/2017,00:00:00,solo,100,0,0,20,0
26709,The Georgia jewel,100 Miler,Dalton,United States,23/09/2017,00:00:00,solo,100,0,0,0,0
67710,Pine creek challenge,100Miles,Wellsboro,"PA, United States",09/09/2017,00:00:00,solo,100,0,0,0,0
26873,Grand Mesa Ultras,100 Miler,NA,United States,27/08/2017,00:00:00,solo,100,0,0,0,0
24935,Habanero Hundread,100M,CatSprings,United States,19/08/2017,12:00:00,solo,100,0,0,2,400
25331,LEADVILLE TRAIL 100 RUN,100 MI,Leadville,United States,19/08/2017,00:00:00,solo,100,0,0,0,0
16853,Chiemgauer 100,100 Mile,Bergen,Germany,28/07/2017,14:00:00,Solo,100,0,0,9,150
34957,Mohican Trail,THE NORTH FACE MOHICAN TRAIL 100M,Loudonville,United States,17/06/2017,00:00:00,solo,100,0,0,0,0
17313,Antelope Island Buffalo Run,100 Mile,Syracuse,United States,17/03/2017,00:00:00,solo,100,0,0,17,75
31715,Croom zoom,100mi,Brooksville,"FL, United States",07/01/2017,00:00:00,solo,100,0,0,0,0
28009,Tunnel Hill  100 & 50 mile runs,100mi,Vienna,United States,12/11/2016,07:00:00,solo,100,0,0,21,0
32381,Oil Creek 100 Trail Runs,100 MILES,NA,United States,08/10/2016,00:00:00,solo,100,0,0,0,0
